kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
20.00-20.59,6,0,2,0,1,0,0,0,387134.32,2019,1,2,6671592.45
18.00-18.59,1,1,0,0,1,0,0,0,387869.92,2019,6,2,6673860.88
22.00-22.59,0,0,0,0,2,0,0,0,388013.23,2019,8,2,6673922
19.00-19.59,1,1,0,0,1,0,0,0,388075.43,2019,4,2,6673527.49
06.00-06.59,8,0,0,0,1,0,0,0,387384.23,2019,6,2,6673977.41
14.00-14.59,6,0,1,0,0,1,0,0,386997.27,2019,5,2,6674054.27
23.00-23.59,8,0,0,0,0,1,0,0,389805.64,2019,1,2,6674107.98
12.00-12.59,3,1,0,0,1,0,0,0,387352.55,2019,6,2,6674126.06
17.00-17.59,4,1,0,0,1,0,0,0,386942,2019,11,2,6674242.86
21.00-21.59,1,1,0,0,1,0,0,0,386440.26,2019,10,2,6674545.31
10.00-10.59,0,0,0,0,3,0,0,0,386937.82,2019,7,2,6674293.19
07.00-07.59,6,0,1,1,0,0,0,0,386572.24,2019,4,2,6674689.98
15.00-15.59,1,1,0,0,0,1,0,0,386287.94,2019,12,2,6674400.55
11.00-11.59,7,0,1,0,1,0,0,0,386480.44,2019,6,2,6674282.05
16.00-16.59,7,0,1,0,0,1,0,0,386429.64,2019,11,2,6675108.59
09.00-09.59,4,0,0,0,0,0,0,3,386265.46,2019,7,2,6675224.12
18.00-18.59,7,0,1,0,0,1,0,0,386391.16,2019,6,3,6673272.62
03.00-03.59,6,0,1,0,1,0,0,0,386432.71,2019,9,2,6673301.84
15.00-15.59,6,0,1,0,1,0,0,0,386822.91,2019,5,2,6673306.29
12.00-12.59,0,1,0,0,1,0,0,0,386940.94,2019,6,2,6673660.12
16.00-16.59,4,0,0,1,1,0,0,0,386408.16,2019,6,2,6673503.65
19.00-19.59,7,0,1,0,1,0,0,0,386491.7,2019,9,2,6673880.94
03.00-03.59,4,0,0,0,2,0,0,0,386643.44,2019,1,2,6673450
11.00-11.59,6,0,1,0,1,0,0,0,386482.98,2019,11,2,6673689.67
08.00-08.59,1,1,0,0,1,0,0,0,386680.12,2019,12,2,6671921.75
15.00-15.59,1,1,0,0,1,0,0,0,386270.83,2019,7,2,6672754.8
05.00-05.59,4,1,0,0,1,0,0,0,386276.74,2019,5,2,6672754.87
15.00-15.59,2,0,0,0,0,1,0,1,386942,2019,7,2,6671852.19
16.00-16.59,0,0,0,1,0,0,0,1,386291.04,2019,6,2,6672783.01
16.00-16.59,7,0,1,0,0,1,0,0,386281.02,2019,5,2,6673042.42
07.00-07.59,6,0,1,0,1,0,0,0,386615.63,2019,5,2,6673124.17
19.00-19.59,7,0,2,0,0,1,0,0,386279.7,2019,8,2,6673222.98
09.00-09.59,6,0,1,0,1,0,0,0,386109.4,2019,5,2,6673483.28
15.00-15.59,0,0,0,0,2,0,0,0,385932.42,2019,1,2,6674014.17
